"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
34,"Private",216864,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,3770,45,"North America","<=50K"
46,"Private",45363,"Prof-school",15,"Divorced","Prof-specialty","Not-in-family","White","Male",0,2824,40,"North America",">50K"
61,"Private",29059,"HS-grad",9,"Divorced","Sales","Unmarried","White","Female",0,2754,25,"North America","<=50K"
49,"Private",122066,"5th-6th",3,"Married-civ-spouse","Other-service","Husband","White","Male",0,2603,40,"Europe","<=50K"
38,"Private",175360,"10th",6,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2559,90,"North America",">50K"
63,"Other",39181,"Doctorate",16,"Divorced","Exec-managerial","Not-in-family","White","Female",0,2559,60,"North America",">50K"
53,"Private",149650,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,2559,48,"North America",">50K"
37,"Self-Employed",137527,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,2559,60,"North America",">50K"
48,"Private",121253,"Bachelors",13,"Married-spouse-absent","Sales","Unmarried","White","Female",0,2472,70,"North America",">50K"
73,"Self-Employed",233882,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,2457,40,"Asia","<=50K"
51,"Government",68898,"Assoc-voc",11,"Divorced","Tech-support","Not-in-family","White","Male",0,2444,39,"North America",">50K"
38,"Private",237608,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",0,2444,45,"North America",">50K"
33,"Private",194901,"Assoc-voc",11,"Separated","Craft-repair","Not-in-family","White","Male",0,2444,42,"North America",">50K"
50,"Self-Employed",121441,"11th",7,"Never-married","Exec-managerial","Other-relative","White","Male",0,2444,40,"North America",">50K"
39,"Self-Employed",329980,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,60,"North America",">50K"
49,"Private",199029,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,55,"North America",">50K"
40,"Private",160369,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,45,"North America",">50K"
32,"Private",396745,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,48,"North America",">50K"
46,"Self-Employed",102308,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,40,"North America",">50K"
50,"Self-Employed",167793,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,60,"North America",">50K"
54,"Private",35576,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,50,"North America",">50K"
46,"Self-Employed",191978,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,50,"North America",">50K"
78,"Self-Employed",188044,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"North America",">50K"
68,"Private",211287,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"North America",">50K"
68,"Government",235882,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2377,60,"North America",">50K"
49,"Self-Employed",158685,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2377,40,"North America",">50K"
71,"Private",152307,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2377,45,"North America",">50K"
65,"Self-Employed",81413,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2352,65,"North America","<=50K"
46,"Private",214955,"5th-6th",3,"Divorced","Craft-repair","Not-in-family","White","Female",0,2339,45,"North America","<=50K"
59,"Government",147707,"HS-grad",9,"Widowed","Farming-fishing","Unmarried","White","Male",0,2339,40,"North America","<=50K"
25,"Private",77071,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,2339,35,"North America","<=50K"
28,"Government",381789,"Some-college",10,"Separated","Exec-managerial","Own-child","White","Male",0,2339,40,"North America","<=50K"
69,"Private",228921,"Bachelors",13,"Widowed","Prof-specialty","Not-in-family","White","Male",0,2282,40,"North America",">50K"
55,"Government",176046,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,2267,40,"North America","<=50K"
40,"Private",287983,"Bachelors",13,"Never-married","Tech-support","Not-in-family","Asian-Pac-Islander","Female",0,2258,48,"Asia","<=50K"
46,"Government",192779,"Assoc-acdm",12,"Divorced","Adm-clerical","Unmarried","White","Male",0,2258,38,"North America",">50K"
29,"Private",135296,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,2258,45,"North America",">50K"
27,"Self-Employed",208577,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,2258,50,"North America","<=50K"
34,"Private",36385,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2258,50,"North America","<=50K"
38,"Government",162613,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,2258,60,"North America","<=50K"
55,"Private",41108,"Some-college",10,"Widowed","Farming-fishing","Not-in-family","White","Male",0,2258,62,"North America",">50K"
45,"Private",187901,"HS-grad",9,"Divorced","Farming-fishing","Not-in-family","White","Male",0,2258,44,"North America",">50K"
48,"Private",175070,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,2258,40,"North America",">50K"
31,"Private",263561,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2246,45,"North America",">50K"
55,"Government",99131,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Other-relative","White","Female",0,2246,40,"North America",">50K"
28,"Private",129460,"10th",6,"Widowed","Adm-clerical","Unmarried","White","Female",0,2238,35,"North America","<=50K"
68,"Private",166149,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,2206,30,"North America","<=50K"
44,"Self-Employed",171424,"Some-college",10,"Divorced","Machine-op-inspct","Not-in-family","White","Male",0,2205,35,"North America","<=50K"
35,"Private",108293,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,2205,40,"North America","<=50K"
34,"Self-Employed",56460,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Wife","White","Female",0,2179,12,"North America","<=50K"
29,"Private",119004,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2179,40,"North America","<=50K"
47,"Private",175925,"10th",6,"Married-civ-spouse","Sales","Husband","White","Male",0,2179,52,"North America","<=50K"
65,"Self-Employed",111483,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2174,10,"North America",">50K"
65,"Other",23494,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,2174,40,"North America",">50K"
51,"Self-Employed",268639,"Some-college",10,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,2057,60,"North America","<=50K"
35,"Private",272019,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2057,40,"North America","<=50K"
29,"Private",239753,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2057,20,"North America","<=50K"
34,"Private",199864,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2057,40,"North America","<=50K"
41,"Private",125831,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,60,"North America","<=50K"
26,"Private",115717,"Some-college",10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,2051,40,"North America","<=50K"
34,"Government",105540,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2051,40,"North America","<=50K"
39,"Private",136081,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,2051,40,"North America","<=50K"
